gt_team,opponent,type,player,player_position,player_pass_grade,player_run_grade,opp_safety_coverage_grade,opp_safety_run_grade,opp_safety_name,opp_safety_snaps,delta_pass_coverage,delta_run_defense
GA TECH,PITTSBURGH,vs_safety_rank_1,Luke Harpring,TE,70.4,56.4,53.3,56.8,Javon McIntyre,339.0,17.1,-0.4
GA TECH,PITTSBURGH,vs_safety_rank_2,Luke Harpring,TE,70.4,56.4,88.3,83.0,Cruce Brookins,334.0,-17.9,-26.6
GA TECH,PITTSBURGH,vs_safety_rank_3,Luke Harpring,TE,70.4,56.4,69.7,70.9,Kavir Bains-Marquez,291.0,0.7,-14.5
GA TECH,PITTSBURGH,vs_safety_rank_4,Luke Harpring,TE,70.4,56.4,68.7,70.9,Josh Guerrier,64.0,1.7,-14.5
GA TECH,PITTSBURGH,vs_defense_avg,Brett Seither,TE,50.4,53.9,70.27,70.18,,,-19.87,-16.28
GA TECH,PITTSBURGH,vs_safety_rank_1,Brett Seither,TE,50.4,53.9,53.3,56.8,Javon McIntyre,339.0,-2.9,-2.9
GA TECH,PITTSBURGH,vs_safety_rank_2,Brett Seither,TE,50.4,53.9,88.3,83.0,Cruce Brookins,334.0,-37.9,-29.1
GA TECH,PITTSBURGH,vs_safety_rank_3,Brett Seither,TE,50.4,53.9,69.7,70.9,Kavir Bains-Marquez,291.0,-19.3,-17.0
GA TECH,PITTSBURGH,vs_safety_rank_4,Brett Seither,TE,50.4,53.9,68.7,70.9,Josh Guerrier,64.0,-18.3,-17.0
GA TECH,PITTSBURGH,vs_defense_avg,Josh Beetham,TE,76.9,49.9,70.27,70.18,,,6.63,-20.28
GA TECH,PITTSBURGH,vs_safety_rank_1,Josh Beetham,TE,76.9,49.9,53.3,56.8,Javon McIntyre,339.0,23.6,-6.9
GA TECH,PITTSBURGH,vs_safety_rank_2,Josh Beetham,TE,76.9,49.9,88.3,83.0,Cruce Brookins,334.0,-11.4,-33.1
GA TECH,PITTSBURGH,vs_safety_rank_3,Josh Beetham,TE,76.9,49.9,69.7,70.9,Kavir Bains-Marquez,291.0,7.2,-21.0
GA TECH,PITTSBURGH,vs_safety_rank_4,Josh Beetham,TE,76.9,49.9,68.7,70.9,Josh Guerrier,64.0,8.2,-21.0
GA TECH,PITTSBURGH,vs_defense_avg,J.T. Byrne,TE,54.2,50.4,70.27,70.18,,,-16.07,-19.78
GA TECH,PITTSBURGH,vs_safety_rank_1,J.T. Byrne,TE,54.2,50.4,53.3,56.8,Javon McIntyre,339.0,0.9,-6.4
GA TECH,PITTSBURGH,vs_safety_rank_2,J.T. Byrne,TE,54.2,50.4,88.3,83.0,Cruce Brookins,334.0,-34.1,-32.6
GA TECH,PITTSBURGH,vs_safety_rank_3,J.T. Byrne,TE,54.2,50.4,69.7,70.9,Kavir Bains-Marquez,291.0,-15.5,-20.5
GA TECH,PITTSBURGH,vs_safety_rank_4,J.T. Byrne,TE,54.2,50.4,68.7,70.9,Josh Guerrier,64.0,-14.5,-20.5
GA TECH,SYRACUSE,vs_defense_avg,Luke Harpring,TE,70.4,56.4,63.89,62.67,,,6.51,-6.27
GA TECH,SYRACUSE,vs_safety_rank_1,Luke Harpring,TE,70.4,56.4,56.5,60.3,Braheem Long Jr.,308.0,13.9,-3.9
GA TECH,SYRACUSE,vs_safety_rank_2,Luke Harpring,TE,70.4,56.4,68.0,81.7,Duce Chestnut,302.0,2.4,-25.3
GA TECH,SYRACUSE,vs_safety_rank_3,Luke Harpring,TE,70.4,56.4,70.5,54.1,Cornell Perry,272.0,-0.1,2.3
GA TECH,SYRACUSE,vs_safety_rank_4,Luke Harpring,TE,70.4,56.4,66.0,51.0,Devin Grant,225.0,4.4,5.4
GA TECH,SYRACUSE,vs_safety_rank_5,Luke Harpring,TE,70.4,56.4,56.5,62.3,Berry Buxton III,168.0,13.9,-5.9
GA TECH,SYRACUSE,vs_defense_avg,Brett Seither,TE,50.4,53.9,63.89,62.67,,,-13.49,-8.77
GA TECH,SYRACUSE,vs_safety_rank_1,Brett Seither,TE,50.4,53.9,56.5,60.3,Braheem Long Jr.,308.0,-6.1,-6.4
GA TECH,SYRACUSE,vs_safety_rank_2,Brett Seither,TE,50.4,53.9,68.0,81.7,Duce Chestnut,302.0,-17.6,-27.8
GA TECH,SYRACUSE,vs_safety_rank_3,Brett Seither,TE,50.4,53.9,70.5,54.1,Cornell Perry,272.0,-20.1,-0.2
GA TECH,SYRACUSE,vs_safety_rank_4,Brett Seither,TE,50.4,53.9,66.0,51.0,Devin Grant,225.0,-15.6,2.9
GA TECH,SYRACUSE,vs_safety_rank_5,Brett Seither,TE,50.4,53.9,56.5,62.3,Berry Buxton III,168.0,-6.1,-8.4
GA TECH,SYRACUSE,vs_defense_avg,Josh Beetham,TE,76.9,49.9,63.89,62.67,,,13.01,-12.77
GA TECH,SYRACUSE,vs_safety_rank_1,Josh Beetham,TE,76.9,49.9,56.5,60.3,Braheem Long Jr.,308.0,20.4,-10.4
GA TECH,SYRACUSE,vs_safety_rank_2,Josh Beetham,TE,76.9,49.9,68.0,81.7,Duce Chestnut,302.0,8.9,-31.8
GA TECH,SYRACUSE,vs_safety_rank_3,Josh Beetham,TE,76.9,49.9,70.5,54.1,Cornell Perry,272.0,6.4,-4.2
GA TECH,SYRACUSE,vs_safety_rank_4,Josh Beetham,TE,76.9,49.9,66.0,51.0,Devin Grant,225.0,10.9,-1.1
GA TECH,SYRACUSE,vs_safety_rank_5,Josh Beetham,TE,76.9,49.9,56.5,62.3,Berry Buxton III,168.0,20.4,-12.4
GA TECH,SYRACUSE,vs_defense_avg,J.T. Byrne,TE,54.2,50.4,63.89,62.67,,,-9.69,-12.27
GA TECH,SYRACUSE,vs_safety_rank_1,J.T. Byrne,TE,54.2,50.4,56.5,60.3,Braheem Long Jr.,308.0,-2.3,-9.9
GA TECH,SYRACUSE,vs_safety_rank_2,J.T. Byrne,TE,54.2,50.4,68.0,81.7,Duce Chestnut,302.0,-13.8,-31.3
GA TECH,SYRACUSE,vs_safety_rank_3,J.T. Byrne,TE,54.2,50.4,70.5,54.1,Cornell Perry,272.0,-16.3,-3.7
GA TECH,SYRACUSE,vs_safety_rank_4,J.T. Byrne,TE,54.2,50.4,66.0,51.0,Devin Grant,225.0,-11.8,-0.6
GA TECH,SYRACUSE,vs_safety_rank_5,J.T. Byrne,TE,54.2,50.4,56.5,62.3,Berry Buxton III,168.0,-2.3,-11.9
