gt_team,opponent,type,player,player_position,player_pass_grade,opp_db_grade,opp_db_name,opp_db_snaps,delta
GA TECH,PITTSBURGH,vs_defense_avg,Eric Rivers,WR,71.4,66.42,,,4.98
GA TECH,PITTSBURGH,vs_db_rank_1,Eric Rivers,WR,71.4,77.1,Shawn Lee Jr.,299.0,-5.7
GA TECH,PITTSBURGH,vs_db_rank_2,Eric Rivers,WR,71.4,50.2,Shadarian Harrison,296.0,21.2
GA TECH,PITTSBURGH,vs_db_rank_3,Eric Rivers,WR,71.4,69.7,Rashad Battle,233.0,1.7
GA TECH,PITTSBURGH,vs_db_rank_4,Eric Rivers,WR,71.4,76.0,Tamon Lynum,88.0,-4.6
GA TECH,PITTSBURGH,vs_defense_avg,Isiah Canion,WR,68.6,66.42,,,2.18
GA TECH,PITTSBURGH,vs_db_rank_1,Isiah Canion,WR,68.6,77.1,Shawn Lee Jr.,299.0,-8.5
GA TECH,PITTSBURGH,vs_db_rank_2,Isiah Canion,WR,68.6,50.2,Shadarian Harrison,296.0,18.4
GA TECH,PITTSBURGH,vs_db_rank_3,Isiah Canion,WR,68.6,69.7,Rashad Battle,233.0,-1.1
GA TECH,PITTSBURGH,vs_db_rank_4,Isiah Canion,WR,68.6,76.0,Tamon Lynum,88.0,-7.4
GA TECH,PITTSBURGH,vs_defense_avg,Malik Rutherford,WR,69.5,66.42,,,3.08
GA TECH,PITTSBURGH,vs_db_rank_1,Malik Rutherford,WR,69.5,77.1,Shawn Lee Jr.,299.0,-7.6
GA TECH,PITTSBURGH,vs_db_rank_2,Malik Rutherford,WR,69.5,50.2,Shadarian Harrison,296.0,19.3
GA TECH,PITTSBURGH,vs_db_rank_3,Malik Rutherford,WR,69.5,69.7,Rashad Battle,233.0,-0.2
GA TECH,PITTSBURGH,vs_db_rank_4,Malik Rutherford,WR,69.5,76.0,Tamon Lynum,88.0,-6.5
GA TECH,PITTSBURGH,vs_defense_avg,Bailey Stockton,WR,63.8,66.42,,,-2.62
GA TECH,PITTSBURGH,vs_db_rank_1,Bailey Stockton,WR,63.8,77.1,Shawn Lee Jr.,299.0,-13.3
GA TECH,PITTSBURGH,vs_db_rank_2,Bailey Stockton,WR,63.8,50.2,Shadarian Harrison,296.0,13.6
GA TECH,PITTSBURGH,vs_db_rank_3,Bailey Stockton,WR,63.8,69.7,Rashad Battle,233.0,-5.9
GA TECH,PITTSBURGH,vs_db_rank_4,Bailey Stockton,WR,63.8,76.0,Tamon Lynum,88.0,-12.2
GA TECH,SYRACUSE,vs_defense_avg,Eric Rivers,WR,71.4,70.07,,,1.33
GA TECH,SYRACUSE,vs_db_rank_1,Eric Rivers,WR,71.4,73.6,Demetres Samuel Jr.,442.0,-2.2
GA TECH,SYRACUSE,vs_db_rank_2,Eric Rivers,WR,71.4,78.7,Chris Peal,420.0,-7.3
GA TECH,SYRACUSE,vs_db_rank_3,Eric Rivers,WR,71.4,60.5,Davien Kerr,199.0,10.9
GA TECH,SYRACUSE,vs_db_rank_4,Eric Rivers,WR,71.4,47.7,Greg Delaine,93.0,23.7
GA TECH,SYRACUSE,vs_db_rank_5,Eric Rivers,WR,71.4,54.7,Ibn McDaniels,78.0,16.7
GA TECH,SYRACUSE,vs_defense_avg,Isiah Canion,WR,68.6,70.07,,,-1.47
GA TECH,SYRACUSE,vs_db_rank_1,Isiah Canion,WR,68.6,73.6,Demetres Samuel Jr.,442.0,-5.0
GA TECH,SYRACUSE,vs_db_rank_2,Isiah Canion,WR,68.6,78.7,Chris Peal,420.0,-10.1
GA TECH,SYRACUSE,vs_db_rank_3,Isiah Canion,WR,68.6,60.5,Davien Kerr,199.0,8.1
GA TECH,SYRACUSE,vs_db_rank_4,Isiah Canion,WR,68.6,47.7,Greg Delaine,93.0,20.9
GA TECH,SYRACUSE,vs_db_rank_5,Isiah Canion,WR,68.6,54.7,Ibn McDaniels,78.0,13.9
GA TECH,SYRACUSE,vs_defense_avg,Malik Rutherford,WR,69.5,70.07,,,-0.57
GA TECH,SYRACUSE,vs_db_rank_1,Malik Rutherford,WR,69.5,73.6,Demetres Samuel Jr.,442.0,-4.1
GA TECH,SYRACUSE,vs_db_rank_2,Malik Rutherford,WR,69.5,78.7,Chris Peal,420.0,-9.2
GA TECH,SYRACUSE,vs_db_rank_3,Malik Rutherford,WR,69.5,60.5,Davien Kerr,199.0,9.0
GA TECH,SYRACUSE,vs_db_rank_4,Malik Rutherford,WR,69.5,47.7,Greg Delaine,93.0,21.8
GA TECH,SYRACUSE,vs_db_rank_5,Malik Rutherford,WR,69.5,54.7,Ibn McDaniels,78.0,14.8
GA TECH,SYRACUSE,vs_defense_avg,Bailey Stockton,WR,63.8,70.07,,,-6.27
GA TECH,SYRACUSE,vs_db_rank_1,Bailey Stockton,WR,63.8,73.6,Demetres Samuel Jr.,442.0,-9.8
GA TECH,SYRACUSE,vs_db_rank_2,Bailey Stockton,WR,63.8,78.7,Chris Peal,420.0,-14.9
GA TECH,SYRACUSE,vs_db_rank_3,Bailey Stockton,WR,63.8,60.5,Davien Kerr,199.0,3.3
GA TECH,SYRACUSE,vs_db_rank_4,Bailey Stockton,WR,63.8,47.7,Greg Delaine,93.0,16.1
GA TECH,SYRACUSE,vs_db_rank_5,Bailey Stockton,WR,63.8,54.7,Ibn McDaniels,78.0,9.1
